id,name,code,created_at,updated_at
71,16MOA2,16MOA2,2021-10-14 03:25:50.847265,2021-10-14 03:25:50.847265
72,16R161,16R161,2021-10-14 03:25:51.18208,2021-10-14 03:25:51.18208
73,14SPEL,14SPEL,2021-10-14 03:25:52.560239,2021-10-14 03:25:52.560239
74,17WASI,17WASI,2021-10-14 03:25:57.824914,2021-10-14 03:25:57.824914
75,15MSB4,15MSB4,2021-10-14 03:25:57.854238,2021-10-14 03:25:57.854238
76,12SPEL,12SPEL,2021-10-14 03:26:02.251731,2021-10-14 03:26:02.251731
77,17FNSB,17FNSB,2021-10-14 03:26:05.432339,2021-10-14 03:26:05.432339
78,16MOA6,16MOA6,2021-10-14 03:26:13.143084,2021-10-14 03:26:13.143084
79,16SITK,16SITK,2021-10-14 03:26:15.057681,2021-10-14 03:26:15.057681
80,16WRAN,16WRAN,2021-10-14 03:26:16.946099,2021-10-14 03:26:16.946099
81,20WAS,20WAS,2021-10-14 03:26:25.023393,2021-10-14 03:26:25.023393
82,19WASI,19WASI,2021-10-14 03:26:29.41764,2021-10-14 03:26:29.41764
83,19REAA,19REAA,2021-10-14 03:26:32.898361,2021-10-14 03:26:32.898361
84,16BBBO,16BBBO,2021-10-14 03:26:35.767931,2021-10-14 03:26:35.767931
85,20HOU,20HOU,2021-10-14 03:26:58.521078,2021-10-14 03:26:58.521078
86,20FNSB,20FNSB,2021-10-14 03:27:26.386532,2021-10-14 03:27:26.386532
87,19FNSB,19FNSB,2021-10-14 03:27:26.403954,2021-10-14 03:27:26.403954
88,16KEPB,16KEPB,2021-10-14 03:27:54.262886,2021-10-14 03:27:54.262886
89,16MOA1,16MOA1,2021-10-14 03:27:54.654503,2021-10-14 03:27:54.654503
90,16NWAB,16NWAB,2021-10-14 03:28:10.458246,2021-10-14 03:28:10.458246
91,17FBX,17FBX,2021-10-14 03:28:13.374827,2021-10-14 03:28:13.374827
92,16FNSB,16FNSB,2021-10-14 03:28:13.418555,2021-10-14 03:28:13.418555
93,18NWAB,18NWAB,2021-10-14 03:28:19.541156,2021-10-14 03:28:19.541156
